Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,SO,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Colorado Avalanche,20252026,55,37,9,--,9,83,0.755,34,36,1,211,133,3.84,2.42,6,15.1,84.7,10.1,85.3,34.1,26.7,51.1
Tampa Bay Lightning,20252026,55,37,14,--,4,78,0.709,28,33,4,195,138,3.55,2.51,2,22.4,83.9,20.7,85.6,28.1,26.4,47
Carolina Hurricanes,20252026,57,36,15,--,6,78,0.684,26,32,4,193,160,3.39,2.81,3,21.6,80.6,19.3,84.4,31.9,24.4,50.6
Minnesota Wild,20252026,58,34,14,--,10,78,0.672,21,30,4,192,166,3.31,2.86,7,25.4,77.2,24.3,79.9,28.9,30,46.4
Dallas Stars,20252026,57,34,14,--,9,77,0.675,28,30,4,189,157,3.32,2.75,3,29.9,79.9,26.9,81.6,25.6,26.9,52.2
Detroit Red Wings,20252026,58,33,19,--,6,72,0.621,23,31,2,172,172,2.97,2.97,4,23.1,79.6,20.3,80.3,28.4,27.7,51.1
Montréal Canadiens,20252026,57,32,17,--,8,72,0.632,21,30,2,197,183,3.46,3.21,1,23.9,76.9,22.1,80.1,26.2,27.3,50.7
Buffalo Sabres,20252026,57,32,19,--,6,70,0.614,26,29,3,192,176,3.37,3.09,2,20.1,82.5,18.3,87,27.6,30.1,44.7
Pittsburgh Penguins,20252026,56,29,15,--,12,70,0.625,25,28,1,191,162,3.41,2.89,3,25.9,84,21.1,85.9,29.1,27.3,50.1
New York Islanders,20252026,58,32,21,--,5,69,0.595,22,28,4,165,157,2.84,2.71,8,15.7,82.4,12.8,86.8,27.4,27.9,51.9
Boston Bruins,20252026,57,32,20,--,5,69,0.605,24,30,2,193,179,3.39,3.14,2,26.3,76.3,22.8,77.3,27.2,30,51.8
Vegas Golden Knights,20252026,57,27,16,--,14,68,0.596,20,26,1,190,173,3.33,3.04,2,25.5,81.3,22.4,82.8,28.8,24.9,50.8
Washington Capitals,20252026,59,29,23,--,7,65,0.551,24,28,1,188,172,3.19,2.92,3,16.4,78.9,13,80,29.2,28.3,49.8
Columbus Blue Jackets,20252026,56,29,20,--,7,65,0.58,20,24,5,174,176,3.11,3.14,3,19.7,77.4,18.2,79.2,29.8,30.3,51
Utah Mammoth,20252026,57,30,23,--,4,64,0.561,23,30,0,183,157,3.21,2.75,1,15.6,79.1,15.6,81.9,27.8,26,49.1
Edmonton Oilers,20252026,58,28,22,--,8,64,0.552,21,28,0,198,191,3.41,3.29,4,31.4,76.9,29.6,80,30,27.1,52.4
Anaheim Ducks,20252026,56,30,23,--,3,63,0.563,18,24,6,179,195,3.2,3.48,0,17.9,78.1,16.7,82,30.1,28.8,47.2
Ottawa Senators,20252026,57,28,22,--,7,63,0.553,22,25,3,188,184,3.3,3.23,1,23.1,73.1,21,74.9,28.5,24.5,54.8
Toronto Maple Leafs,20252026,57,27,21,--,9,63,0.553,19,26,1,187,193,3.28,3.39,3,18.8,83.7,15.8,85.8,27.3,31.6,56.2
Seattle Kraken,20252026,56,27,20,--,9,63,0.563,21,26,1,161,161,2.88,2.88,2,23,71.5,18.6,72.2,25.4,29.2,47.7
Florida Panthers,20252026,57,29,25,--,3,61,0.535,23,25,4,170,190,2.98,3.33,3,19.1,82.6,16.3,85.1,29,25.8,47.5
Philadelphia Flyers,20252026,56,25,20,--,11,61,0.545,18,20,5,162,177,2.89,3.16,0,16.1,79.1,12.4,82,25.6,25.7,49.1
Los Angeles Kings,20252026,56,23,19,--,14,60,0.536,14,19,4,142,155,2.54,2.77,3,16,76.6,13,80.4,27.6,27.1,48.4
Nashville Predators,20252026,57,26,24,--,7,59,0.518,19,23,3,166,198,2.91,3.47,0,21.8,80,21.8,82.4,28.6,29.4,51.5
New Jersey Devils,20252026,57,28,27,--,2,58,0.509,18,25,3,143,175,2.51,3.07,1,20.8,79,20.1,81.8,29.3,27.7,50.1
San Jose Sharks,20252026,55,27,24,--,4,58,0.527,16,25,2,169,192,3.07,3.49,0,20,78.4,16.3,79.5,25.5,30.6,47.5
Chicago Blackhawks,20252026,57,22,26,--,9,53,0.465,17,19,3,151,180,2.65,3.16,4,19.1,85.7,17.3,88,24.8,29.5,47
Calgary Flames,20252026,56,23,27,--,6,52,0.464,19,21,2,140,167,2.5,2.98,2,16.4,82.2,15.2,87.1,29,28.9,49.1
Winnipeg Jets,20252026,56,22,26,--,8,52,0.464,20,21,1,159,173,2.84,3.09,0,19.1,79,17.2,82,26.3,28,50.4
New York Rangers,20252026,57,22,29,--,6,50,0.439,14,20,2,149,180,2.61,3.16,2,22.7,79.9,17,82.2,25.5,28.8,54.5
St. Louis Blues,20252026,57,20,28,--,9,49,0.43,19,19,1,146,200,2.56,3.51,5,17.8,73.2,16.6,76.4,25.1,27.7,50
Vancouver Canucks,20252026,57,18,33,--,6,42,0.368,12,14,4,145,208,2.54,3.65,2,18.2,70.6,14.8,74.7,26.9,29.9,48.5
